Item_Identifier,Item_Weight,Item_MRP,Item_Outlet_Sales
FDE58,,119.8124,1659.1736
DRD15,10.6,233.6642,3950.1914
FDJ52,7.145,161.3578,1123.2046
FDS01,,175.9686,5866.3638
FDZ47,20.7,97.2042,1686.4714
FDG35,,173.5738,1216.4166
FDY45,17.5,252.6356,2543.356
FDY04,17.7,161.921,2120.573
FDY47,8.6,131.031,1038.648
FDE28,9.5,228.4668,3916.2356
FDJ27,17.7,101.5674,1629.8784
FDH58,12.3,116.8834,2649.2182
NCV42,6.26,111.0228,221.0456
NCQ54,17.7,167.6474,3874.2902
FDL44,18.25,162.8894,647.1576
FDY50,5.8,89.7172,1605.9096
FDR59,14.5,262.7594,7064.8038
FDH35,18.25,162.5526,986.7156
FDX08,12.85,179.3318,1263.0226
FDL20,17.1,111.9886,1445.4518
FDB27,7.575,196.8768,1182.4608
FDA56,9.21,120.8414,2071.3038
FDV39,11.3,196.6426,5141.3076
FDU38,,190.6504,575.2512
FDT55,13.6,157.7946,1104.5622
FDS24,20.85,87.2514,1505.3738
FDS15,9.195,106.3596,2912.2092
FDF05,,261.291,5522.811
DRP47,15.75,252.9382,2775.7202
FDA25,16.5,101.999,619.194
FDA19,,126.6994,256.9988
NCM26,20.5,154.634,2297.01
FDS46,17.6,118.1782,2621.9204
DRH15,8.775,42.7428,790.9704
NCR05,10.1,197.5084,2976.126
NCY17,18.2,44.1086,1115.215
FDZ01,8.975,103.099,309.597
FDP31,,65.7168,2237.088
FDE57,9.6,141.0154,2694.4926
FDZ44,8.185,116.0808,234.3616
NCP53,14.75,236.6906,3089.9778
NCA06,20.5,37.219,476.047
FDP22,14.65,51.3666,1076.5986
FDW37,19.2,90.9488,633.8416
NCS30,5.945,127.3652,1549.9824
FDB40,17.5,144.2102,4082.6856
FDC51,10.895,122.873,3448.844
FDC11,20.5,89.7172,1159.8236
FDC59,,63.8168,958.752
FDE14,13.65,99.47,299.61
NCT41,15.7,150.6024,2428.8384
FDP52,18.7,229.201,3215.814
DRA24,19.35,163.8868,327.5736
FDC40,16,79.3986,856.8846
NCA42,6.965,159.4604,3169.208
FDT27,11.395,233.9616,1406.1696
NCW54,7.5,56.9588,744.3644
DRB13,6.115,189.253,3605.307
FDY02,,264.091,262.991
FDS59,14.8,110.657,2966.139
FDR49,8.71,46.1376,383.5008
FDY40,15.5,50.9692,394.1536
FDL48,19.35,48.7034,534.6374
DRI01,,173.1422,5000.8238
FDZ52,19.2,111.8886,1667.829
FDK32,16.25,152.4682,2439.4912
FDK51,19.85,265.1884,5034.7796
FDP28,13.65,259.6936,2087.9488
DRZ24,7.535,120.844,2157.192
FDG04,,185.1898,374.1796
FDF58,,64.551,1201.769
FDI21,5.59,63.2168,1725.7536
FDZ43,11,240.4512,7028.1848
FDI57,19.85,195.0768,1970.768
FDV03,17.6,153.6314,5274.4676
FDT12,6.215,224.4062,225.7062
FDF29,15.1,128.831,1817.634
FDU02,13.35,230.6352,5725.88
FDD23,9.5,186.5898,5238.5144
FDN04,11.8,179.2344,2141.2128
FDG29,17.6,40.3454,796.9626
FDK51,19.85,266.6884,264.9884
FDB53,13.35,147.6392,1938.8096
DRI23,18.85,158.4578,1444.1202
FDP57,17.5,102.999,2992.771
FDY57,20.2,95.3752,1150.5024
NCT42,5.88,149.9392,1491.392
FDZ21,,95.641,1737.738
FDC50,15.85,94.4094,1904.188
FDT40,5.985,127.3678,508.6712
FDD50,18.85,170.4132,4396.9432
DRI23,18.85,161.7578,1604.578
FDQ46,7.51,113.5544,894.8352
NCW06,16.2,190.8162,3271.0754
NCX06,17.6,182.5976,1629.8784
NCE19,8.97,54.6956,764.3384
FDI60,7.22,64.751,126.502
FDC47,,228.1694,228.3694
FDE02,8.71,94.4778,2628.5784
FDE11,17.7,186.0924,3516.7556
FDP11,15.85,217.5166,653.1498
FDB08,6.055,160.3578,2406.867
FDL48,,46.8034,1069.2748
FDH26,19.25,141.5496,1976.0944
FDI33,16.5,91.0146,1368.219
FDQ26,13.5,57.8562,355.5372
FDN03,,250.9408,1001.3632
FDO13,7.865,164.5526,1644.526
NCJ29,10.6,84.7224,1619.2256
FDE52,,88.9514,3453.5046
FDA52,16.2,178.337,1411.496
FDF57,14.5,169.7448,3238.4512
NCO26,7.235,116.4492,2316.984
DRL59,16.75,55.1298,1240.3854
FDC60,,88.8514,265.6542
DRD25,,113.286,2716.464
FDB26,14,52.564,639.168
FDK51,19.85,265.8884,2649.884
FDE53,10.895,106.328,852.224
FDV24,5.635,148.205,449.415
FDI34,10.65,229.3668,2303.668
FDL36,15.1,88.283,89.883
NCA54,16.5,178.7318,1263.0226
FDI38,13.35,208.5638,2277.7018
FDG31,12.15,63.0826,322.913
FDA21,13.65,186.3924,1295.6468
FDI09,20.75,240.288,2396.88
FDI20,19.1,210.6586,5487.5236
DRI51,17.25,171.5764,4637.9628
DRZ11,,123.0388,1981.4208
FDY07,,45.9402,872.8638
FDC58,10.195,43.8428,175.7712
NCC30,16.6,176.6344,1962.7784
FDY03,17.6,111.8202,2025.3636
FDZ44,8.185,117.1808,1874.8928
FDP28,13.65,261.1936,2348.9424
DRD15,10.6,231.9642,3020.7346
FDL08,10.8,243.9144,4655.2736
FDP25,15.2,219.4824,1747.0592
DRK59,8.895,232.9616,2812.3392
DRJ24,11.8,187.0924,1850.924
FDU33,7.63,45.1402,45.9402
FDX47,6.55,157.5288,1571.288
FDR46,16.85,144.976,2783.044
FDZ56,,168.2474,3200.5006
NCO26,7.235,116.9492,2316.984
FDV38,19.25,55.1956,491.3604
FDL13,13.85,233.93,233.03
FDD57,18.1,93.6094,476.047
FDE46,18.6,153.1366,3173.8686
FDB28,6.615,196.3426,790.9704
FDC41,15.6,77.367,153.134
DRI23,18.85,158.6578,3369.6138
FDL33,7.235,197.2452,2348.9424
FDS03,7.825,63.4826,2002.0606
NCY18,,177.0054,2101.2648
FDE50,19.7,188.2556,3379.6008
FDT02,12.6,34.4874,494.0236
FDI34,10.65,230.2668,5759.17
FDO15,16.75,73.2038,1404.1722
DRI39,13.8,55.393,1018.674
NCO14,9.6,43.6086,624.5204
NCN19,13.1,189.253,1518.024
DRJ25,14.6,47.5692,1379.5376
FDE10,6.67,130.5626,1180.4634
FDQ08,15.7,59.4536,857.5504
NCQ43,17.75,107.7912,982.7208
FDY57,20.2,97.3752,958.752
FDQ34,10.85,107.4622,1693.7952
NCG19,20.25,232.7616,1874.8928
FDI33,,90.2146,3648.584
FDW27,5.86,156.0314,2016.7082
FDH04,6.115,92.4488,1358.232
FDZ39,19.7,104.499,1031.99
NCK19,9.8,194.5478,774.9912
FDY20,12.5,89.0488,1267.6832
FDN39,19.35,166.0816,671.1264
NCY41,16.75,34.5532,323.5788
NCN14,19.1,182.7608,1837.608
FDR07,21.35,96.2094,190.4188
FDW49,19.5,179.2002,2865.6032
FDN23,6.575,146.4444,1596.5884
FDS33,6.67,88.9514,2125.2336
FDY36,12.3,74.838,1537.998
FDH20,16.1,97.841,1255.033
FDR15,,155.8314,310.2628
NCP50,17.35,80.6618,1208.427
FDS40,15.35,35.219,36.619
FDG38,8.975,86.4224,1022.6688
NCO18,13.15,178.2686,2666.529
NCO54,19.5,55.6614,718.3982
NCW18,15.1,238.1248,4266.4464
FDB36,5.465,132.9626,2360.9268
FDJ45,17.75,34.2216,934.7832
FDP60,,100.3016,2833.6448
DRD12,6.96,92.7146,1733.0774
FDR47,17.85,196.0794,1755.7146
FDJ10,5.095,142.4838,561.9352
DRC25,5.73,87.0882,1803.6522
NCW54,7.5,57.8588,1145.176
FDA26,7.855,218.6482,3723.8194
DRF01,5.655,146.9102,1895.5326
NCZ17,12.15,37.6506,37.9506
FDK46,9.6,258.362,259.662
NCU41,18.85,190.3846,3630.6074
FDV20,20.2,127.4678,3560.6984
FDT15,12.15,182.295,549.285
DRI25,19.6,56.4614,773.6596
FDA40,16,88.5856,878.856
FDZ15,,117.5782,2741.0986
FDM13,6.425,132.2626,2098.6016
NCM05,6.825,262.5226,9779.9362
FDD38,,103.7674,203.7348
DRI01,7.97,172.1422,517.3266
DRG13,17.25,166.4526,3782.4098
NCT30,9.1,48.8718,425.4462
NCG42,19.2,129.831,1947.465
FDB14,,91.312,3075.996
FDO27,,95.7752,3930.8832
FDC14,14.5,41.4454,41.9454
FDB49,,98.5384,591.2304
FDZ23,17.75,188.024,2796.36
FDJ52,7.145,160.6578,1765.0358
FDJ56,8.985,99.67,3295.71
NCR54,16.35,196.811,3338.987
DRF01,5.655,147.5102,1166.4816
DRK12,9.5,32.49,865.54
FDL58,5.78,264.9568,6855.0768
FDD44,8.05,257.5646,5153.292
FDT50,6.75,95.6752,1246.3776
DRM23,16.6,173.3422,4138.6128
NCM31,6.095,141.9154,2694.4926
FDY21,15.1,197.211,196.411
FDR22,19.35,112.9544,1342.2528
NCV06,11.3,192.0478,3099.9648
FDR45,10.8,240.5222,4541.4218
FDH60,19.7,194.411,5106.686
FDR08,,113.1886,111.1886
FDA47,10.5,164.121,1794.331
FDS37,7.655,114.3492,1853.5872
FDF12,8.235,146.5076,1625.8836
FDP24,20.6,119.4756,1090.5804
FDU20,19.35,122.1098,2892.2352
FDW44,9.5,170.2448,170.4448
FDY39,5.305,183.5608,551.2824
DRD37,9.8,47.406,978.726
FDZ35,9.6,101.699,2992.771
FDB50,13,79.6986,1480.0734
FDY10,17.6,113.0176,2862.94
FDK41,14.3,83.4224,681.7792
FDL24,10.3,172.3422,5690.5926
FDZ07,15.1,62.2194,185.7582
DRI03,6.03,176.7028,1416.8224
FDW56,7.68,192.6162,5580.0698
FDR20,20,46.8744,905.488
FDC50,15.85,96.3094,2856.282
NCX05,15.2,117.6492,347.5476
FDU23,12.15,164.7184,3962.8416
FDN45,19.35,222.6088,6040.1376
FDQ51,,45.4718,1323.6104
FDH21,,157.5604,5704.5744
DRZ11,8.85,125.1388,1114.5492
NCI43,19.85,49.5376,1006.6896
DRF03,19.1,38.8138,690.4346
NCF30,17,125.8362,2516.724
FDB12,11.15,102.0648,1038.648
FDW19,12.35,110.757,1208.427
FDB45,20.85,103.3306,522.653
FDY55,,255.7988,9251.9568
FDK40,7.035,263.291,525.982
FDU11,4.785,122.0098,2048.6666
FDP33,,254.2672,10993.6896
FDN49,17.25,40.348,39.948
FDR15,9.3,153.4314,2482.1024
FDO38,17.25,78.8986,1635.8706
DRC24,17.85,153.1998,3383.5956
NCU17,,101.6674,1426.1436
FDK22,9.8,217.585,4327.7
DRP35,18.85,127.1336,3579.3408
NCL29,9.695,158.2604,2693.8268
FDG53,10,138.118,1957.452
DRM23,16.6,172.9422,2931.5174
FDR09,18.25,259.6962,5438.9202
NCJ30,5.82,170.579,509.337
FDZ04,9.31,62.151,1201.769
FDM10,18.25,214.0218,2564.6616
FDR21,19.7,178.337,1411.496
DRJ49,6.865,127.1652,1291.652
FDJ15,11.35,184.4608,4042.7376
FDO34,17.7,169.0816,5201.2296
NCG30,,124.6046,2863.6058
FDS60,20.85,177.866,1078.596
FDX57,17.25,97.0068,1846.9292
FDS40,15.35,38.419,476.047
FDT08,13.65,151.805,2696.49
NCN29,15.2,49.1034,194.4136
FDY27,6.38,178.0344,535.3032
NCR29,,56.293,2546.685
FDZ02,6.905,97.2726,195.7452
FDP40,,110.1544,111.8544
FDE11,,183.9924,6478.234
DRL35,15.7,44.777,605.878
FDD56,15.2,177.0054,2976.7918
FDO39,,182.1608,5880.3456
FDG32,,222.0772,889.5088
FDU50,,112.9176,3435.528
FDX24,8.355,93.0462,1110.5544
NCN43,12.15,122.173,2586.633
FDK34,13.35,238.7564,1906.8512
NCN41,17,122.373,2586.633
FDW16,17.35,93.1804,1378.206
FDP46,,88.383,89.883
NCD07,9.1,115.0518,683.1108
FDG44,6.13,54.1298,1348.245
FDC20,,55.4272,111.8544
FDB23,19.2,226.9062,4514.124
DRK59,8.895,233.8616,937.4464
FDT31,19.75,188.1872,2458.1336
FDB15,10.895,264.3568,4745.8224
FDI56,,91.0146,3466.1548
NCQ17,10.3,154.463,2503.408
FDH44,19.1,148.2418,3089.9778
FDP40,4.555,111.3544,1342.2528
NCR17,,114.0492,3938.8728
NCO53,16.2,184.0608,2021.3688
FDG38,8.975,84.1224,170.4448
FDO01,21.1,128.7994,1927.491
NCQ43,17.75,110.2912,873.5296
FDU47,12.8,142.2838,421.4514
FDZ02,6.905,98.1726,587.2356
FDS04,10.195,141.8838,280.9676
FDQ31,5.785,87.3856,878.856
FDT57,,236.0248,6636.6944
FDK50,7.96,162.4894,1779.6834
FDB49,8.3,98.7384,492.692
FDN56,5.46,145.5786,3900.9222
FDU02,13.35,228.6352,3435.528
FDK26,5.46,185.424,5219.872
DRA24,,165.7868,4913.604
FDF53,20.75,180.3318,4149.9314
NCZ30,6.59,119.0098,2530.7058
FDF14,7.55,151.934,1837.608
FDU40,20.85,192.7478,2131.2258
NCL18,18.85,192.5136,2916.204
FDP25,15.2,218.4824,1528.6768
NCV05,10.1,152.4656,2934.8464
FDV49,10,262.7226,3171.8712
FDJ56,8.985,100.27,998.7
FDI40,11.5,99.7358,1105.8938
NCK05,,61.5536,918.804
NCI43,19.85,48.6376,575.2512
NCE42,21.1,234.2958,3739.1328
FDP40,4.555,112.6544,2684.5056
FDU40,20.85,193.8478,2712.4692
DRK47,7.905,230.2694,4567.388
FDR32,6.78,228.4694,5480.8656
FDS43,,186.224,5033.448
FDH50,15,185.9266,2581.9724
FDZ09,17.6,164.8868,2456.802
FDS19,13.8,77.8012,227.7036
NCU30,5.11,163.821,2120.573
FDI27,8.71,43.5744,407.4696
FDQ09,7.235,113.6834,230.3668
FDB35,12.3,89.8804,1286.3256
DRD12,6.96,93.1146,2189.1504
FDW07,18,89.6514,1859.5794
DRE13,6.28,85.5198,1744.396
FDR11,10.5,158.7578,2246.4092
DRG36,14.15,171.0106,4106.6544
DRD37,9.8,47.506,186.424
FDX03,15.85,44.7744,181.0976
FDU46,10.3,84.854,778.986
FDV03,17.6,156.2314,2947.4966
FDZ37,,86.4198,1918.8356
FDI24,10.3,177.037,3705.177
FDX33,9.195,159.5578,1283.6624
FDG47,12.8,261.3252,3410.2276
FDZ57,10,126.7994,1284.994
FDT04,17.25,40.5822,785.644
FDO49,,49.3008,1518.024
NCB43,20.2,187.7898,2245.0776
NCL53,7.5,175.2028,4427.57
FDM01,7.895,100.7332,1230.3984
FDO12,15.75,195.5452,1174.4712
FDO13,,162.8526,493.3578
FDI04,13.65,196.2426,2570.6538
NCK05,20.1,60.6536,980.0576
FDP28,13.65,259.7936,2609.936
FDJ44,12.3,176.3396,1395.5168
FDS25,,109.5228,3426.2068
FDC02,21.35,258.3278,7028.8506
FDT23,7.72,76.3986,1402.1748
NCD31,12.1,165.1526,164.4526
FDV19,14.85,159.5578,2085.9514
NCQ30,,120.5414,365.5242
NCD18,16,231.3668,4607.336
FDL10,8.395,97.3042,1091.2462
FDX20,7.365,225.172,3395.58
FDM32,20.5,89.583,1797.66
FDR09,18.25,257.2962,517.9924
FDL34,,140.2496,4093.3384
NCK42,7.475,214.5192,2804.3496
FDU23,12.15,164.6184,3797.7232
DRI01,7.97,172.0422,5690.5926
FDG16,15.25,217.1192,3235.788
FDY56,16.35,225.6062,1579.9434
FDO24,11.1,158.1604,1901.5248
NCV29,11.8,177.8686,4621.9836
FDQ48,14.3,98.6726,782.9808
FDU15,13.65,36.6532,755.0172
FDS47,16.75,86.2856,1406.1696
FDO50,16.25,93.1804,1194.4452
FDW48,18,81.2618,402.809
FDV20,20.2,125.2678,127.1678
FDW47,15,121.5414,2436.828
FDA07,,122.9072,4532.7664
FDZ16,,193.5478,4649.9472
FDN09,,241.6828,4873.656
FDB50,13,77.2986,1246.3776
NCL06,14.65,262.9594,5233.188
DRG03,,153.9998,5229.1932
DRM59,5.88,152.2998,3075.996
FDU25,12.35,57.3246,1332.2658
NCU42,9,169.6474,2526.711
FDH21,10.395,158.4604,158.4604
DRO47,10.195,111.786,1697.79
FDC44,,115.7518,5351.0346
NCL29,9.695,158.9604,1743.0644
FDL48,19.35,48.8034,340.2238
FDJ21,16.7,146.6102,2770.3938
FDT40,5.985,128.4678,508.6712
NCD43,8.85,103.7964,210.3928
FDM28,15.7,180.266,1617.894
FDR35,12.5,198.8742,5773.1518
NCP17,19.35,65.6168,383.5008
FDT23,7.72,79.8986,1090.5804
FDX15,17.2,162.1578,1283.6624
NCU42,,166.5474,4379.6324
FDV23,,125.7046,3237.1196
FDY34,,163.9842,331.5684
FDE16,8.895,208.3954,1041.977
FDV60,20.2,195.311,3338.987
FDQ44,20.5,120.0756,2302.3364
FDZ09,17.6,165.2868,3111.9492
FDW36,11.15,106.8622,2011.3818
NCZ30,,121.9098,3374.2744
FDL09,19.6,167.2816,2013.3792
FDE05,10.895,147.7102,1895.5326
DRO35,13.85,114.2492,1853.5872
FDN60,15.1,159.7604,2693.8268
NCZ29,15,125.2362,1384.1982
FDX08,12.85,179.9318,2706.477
FDZ16,16.85,194.1478,1162.4868
DRL37,15.5,44.477,865.54
FDL21,15.85,41.048,479.376
FDW10,21.2,174.837,5469.547
FDB53,13.35,148.3392,3877.6192
DRM49,6.11,46.6086,624.5204
NCD06,13,44.906,652.484
FDN10,,118.9124,2844.2976
FDS13,,266.5884,1324.942
FDH38,6.425,115.6808,1406.1696
FDY21,,195.111,5303.097
FDT60,12,124.6388,2105.2596
DRZ24,7.535,120.344,3835.008
FDW56,7.68,190.9162,5195.2374
FDG57,14.7,48.6034,194.4136
FDY14,10.3,263.0226,6079.4198
FDS19,13.8,76.2012,1669.8264
FDX01,10.1,114.715,815.605
FDV32,7.785,64.251,1328.271
DRI39,13.8,54.893,679.116
NCU05,11.8,81.7618,966.7416
NCA29,10.5,171.1106,3593.3226
FDO10,,58.7588,400.8116
DRL47,19.7,124.2362,1887.543
FDA50,,98.441,96.541
FDU23,,167.1184,2476.776
FDR27,15.1,134.4942,1854.9188
DRH36,16.2,74.9696,2162.5184
FDZ51,11.3,96.3094,666.4658
FDQ40,,175.7712,351.5424
FDB17,,180.1976,181.0976
FDQ16,19.7,108.6912,2183.824
FDG09,20.6,188.0556,2065.3116
DRI59,9.5,223.5088,4697.8848
FDH47,13.5,96.1068,1846.9292
FDA21,13.65,186.3924,1665.8316
NCO05,7.27,97.7384,591.2304
NCL31,,144.747,143.147
NCH42,6.86,231.201,6201.927
FDG57,14.7,47.5034,972.068
NCQ50,,211.9218,3419.5488
FDK24,9.195,45.2744,679.116
DRG39,14.15,54.2982,1104.5622
FDX46,12.3,60.4562,1777.686
FDY01,11.8,116.7834,2303.668
FDJ40,13.6,110.0912,1965.4416
FDS01,11.6,178.2686,1955.4546
FDJ09,15,43.6744,407.4696
FDT49,7,105.628,1384.864
FDW50,13.1,168.4158,1504.0422
FDV39,11.3,197.7426,2570.6538
FDY36,12.3,73.838,1245.046
NCE18,10,248.175,3495.45
FDB05,,247.2776,743.0328
FDK14,6.98,82.4934,982.7208
FDP10,19,107.0622,1376.2086
FDC45,17,172.5106,2053.3272
FDS48,15.15,152.3708,3159.8868
FDX04,,49.4376,191.7504
FDQ20,,40.8138,1543.3244
FDU13,8.355,146.9418,1029.9926
NCR53,12.15,224.4404,1800.3232
FDN49,17.25,40.048,399.48
FDR31,6.46,144.6102,2916.204
DRI03,,175.3028,3719.1588
FDL58,5.78,262.2568,5273.136
NCJ05,18.7,151.9682,3354.3004
FDS10,19.2,180.3318,3428.2042
FDK34,,240.1564,7150.692
FDW48,,81.8618,161.1236
FDE08,,147.7734,4602.6754
NCH06,,245.646,3695.19
FDV08,7.35,39.9454,377.5086
FDQ15,20.35,81.6276,1787.0072
FDL56,,88.9198,3139.9128
DRC12,17.85,189.7188,2285.0256
FDX49,4.615,231.33,4660.6
FDJ09,15,47.2744,679.116
FDN23,,145.8444,3773.7544
DRD01,12.1,56.7614,1049.9666
FDS43,11.65,187.324,1864.24
FDY48,,104.4332,307.5996
FDU12,15.5,262.1568,527.3136
FDX33,9.195,158.5578,2406.867
FDH45,15.1,43.2796,123.8388
FDJ10,5.095,140.3838,1826.2894
FDX32,15.1,142.5786,3323.0078
DRG51,12.1,165.3526,3453.5046
NCB31,6.235,263.791,2103.928
FDW47,15,121.8414,243.6828
FDT20,,39.1164,1235.7248
FDI34,10.65,232.3668,3685.8688
FDH56,9.8,114.2492,463.3968
DRJ47,18.25,173.408,1038.648
FDP04,,62.0168,1534.0032
NCZ06,19.6,251.8698,3551.3772
FDY37,17,144.247,3149.234
FDO46,9.6,190.2872,4727.18
FDI10,8.51,173.5422,5000.8238
NCT42,5.88,150.3392,447.4176
FDE29,8.905,60.2878,1151.1682
FDQ11,,258.8988,3083.9856
FDS20,8.85,183.8292,2554.0088
FDR26,20.7,177.2028,3364.9532
NCH43,,216.6192,215.7192
FDO25,6.3,209.627,3984.813
FDB40,17.5,144.6102,2187.153
FDB14,,92.312,372.848
FDW23,5.765,40.1164,540.6296
FDZ23,17.75,186.924,3169.208
FDX35,5.035,229.0036,4326.3684
FDX24,8.355,94.1462,2221.1088
DRG15,6.13,63.0536,1225.072
FDY60,10.5,143.3128,1438.128
FDK02,12.5,119.144,3235.788
FDK24,,45.4744,1041.3112
NCA05,20.75,150.4734,890.8404
FDN33,,93.0436,2363.59
FDA09,13.35,179.066,2696.49
FDK50,7.96,163.2894,4530.1032
NCE55,8.92,175.237,2117.244
FDG12,6.635,121.8098,2048.6666
FDC37,15.5,106.7938,3215.814
DRG15,6.13,62.4536,1225.072
FDQ58,7.315,154.434,1378.206
FDQ51,16,46.1718,94.5436
FDR46,16.85,146.576,439.428
FDC50,15.85,94.4094,1047.3034
FDJ09,15,43.4744,543.2928
NCC18,19.1,172.3422,2586.633
FDL04,19,105.4622,952.7598
FDH48,13.5,84.654,1211.756
FDD38,16.75,99.8674,2342.9502
FDT47,,95.9068,3207.8244
FDE41,9.195,85.9566,1691.132
FDH19,19.35,173.8738,2432.8332
FDW26,11.8,224.1772,2890.9036
FDW35,10.6,40.6454,167.7816
FDQ55,13.65,115.5834,1382.2008
FDV22,14.85,158.263,2659.871
NCN29,,48.2034,97.2068
FDQ26,13.5,60.1562,1599.9174
FDV24,5.635,150.005,1797.66
FDG50,7.405,92.4146,1459.4336
NCF42,,177.0712,351.5424
FDT46,11.35,51.9008,708.4112
DRE49,,153.8024,7741.9224
FDV56,16.1,109.3596,1186.4556
FDD32,17.7,80.9276,487.3656
NCN19,13.1,188.853,3225.801
FDQ48,14.3,96.5726,2251.0698
FDW34,,244.317,8262.578
NCS38,8.6,114.3176,1946.7992
FDL58,5.78,264.5568,6327.7632
FDY59,8.195,91.8462,2313.655
FDZ03,13.65,184.824,3355.632
FDP60,17.35,102.3016,1619.2256
NCI30,20.25,246.646,2463.46
FDO03,,230.5352,687.1056
FDZ20,16.1,252.3356,3815.034
FDQ31,,89.7856,966.7416
FDY03,17.6,113.2202,2025.3636
FDW45,18,148.4418,4119.9704
NCO41,12.5,99.0384,197.0768
FDK16,9.065,94.4094,2856.282
FDZ16,16.85,195.5478,4262.4516
NCD18,16,228.4668,2534.0348
FDF52,9.3,181.6292,2371.5796
FDF09,6.215,37.9848,782.9808
FDW43,20.1,226.6036,6831.108
FDU19,8.77,170.5422,2759.0752
FDA50,16.25,95.141,2220.443
FDS48,15.15,150.4708,2106.5912
NCH07,13.15,159.5604,1901.5248
NCK54,12.15,117.615,1514.695
FDD53,,41.8454,41.9454
FDV58,20.85,197.5452,4306.3944
FDI08,18.2,247.2092,3486.1288
FDD08,8.3,36.6506,455.4072
FDX34,6.195,120.1098,2892.2352
FDX55,15.1,216.4166,2830.3158
NCS05,11.5,130.7942,2782.3782
FDL04,19,105.4622,1905.5196
FDJ53,10.5,120.2098,602.549
FDB47,8.8,210.6612,2508.7344
NCS29,,264.1884,264.9884
FDB33,17.75,160.4262,3182.524
FDL52,,39.8506,37.9506
FDB03,17.75,242.1538,4326.3684
FDW20,20.75,123.373,2093.941
FDT10,16.7,60.6562,592.562
FDK04,,55.5588,1145.176
NCL07,13.85,40.248,319.584
FDZ31,15.35,191.1504,1725.7536
FDE45,12.1,177.3002,3044.7034
NCK54,12.15,118.515,1398.18
DRE15,,74.8012,303.6048
NCQ38,16.35,106.128,1917.504
FDB08,,160.1578,3048.6982
DRF49,7.27,111.8518,2277.036
DRC27,13.8,246.9802,5896.3248
FDB37,20.25,240.3538,4086.0146
FDS35,9.3,65.7826,968.739
FDE47,14.15,125.6046,1618.5598
NCT53,,164.5526,2302.3364
FDL14,8.115,154.8972,1713.7692
FDP21,,190.8872,945.436
NCV54,11.1,120.1124,1896.1984
NCO41,12.5,96.7384,2759.0752
FDQ59,9.8,84.6908,1006.6896
FDQ01,19.7,253.1014,2805.0154
FDQ48,14.3,95.9726,2153.1972
FDP09,19.75,213.5902,4460.1942
FDK55,18.5,89.4172,1605.9096
NCJ43,,174.1396,4012.1108
FDI07,12.35,199.0426,3361.6242
NCW41,,156.9604,4278.4308
FDG33,5.365,169.7764,3263.7516
NCO05,,97.2384,2660.5368
FDH53,20.5,82.8592,908.1512
FDR49,8.71,49.5376,1198.44
FDF33,,109.4596,1833.6132
FDQ51,16,48.1718,756.3488
FDZ38,17.6,171.6422,3793.7284
FDV52,20.7,118.9466,353.5398
FDM50,13,61.922,1557.972
FDV60,20.2,195.811,2553.343
FDG60,20.35,232.7616,2812.3392
FDN13,18.6,101.1358,1105.8938
DRN59,,46.206,1304.968
FDU02,13.35,229.9352,2519.3872
FDZ58,17.85,120.9072,2817.6656
NCQ38,16.35,105.528,2024.032
FDF39,14.85,263.791,4207.856
FDT03,21.25,183.1608,2756.412
FDN09,14.15,242.7828,3167.8764
FDJ02,17.2,145.9418,1765.7016
FDN44,,161.592,4314.384
FDQ34,10.85,107.4622,529.311
FDX31,20.35,233.2958,4206.5244
NCH55,16.35,124.802,253.004
DRM47,9.3,191.6846,3057.3536
DRL01,,231.8958,8413.0488
FDO12,15.75,196.5452,3131.9232
NCK30,14.85,253.2698,2283.0282
FDP16,18.6,243.6802,5896.3248
NCG06,16.35,256.4646,515.3292
FDX36,9.695,226.1404,3375.606
FDT09,15.15,130.0284,3559.3668
FDF08,14.3,88.9856,1669.8264
FDA43,10.895,194.8794,585.2382
NCN06,8.39,165.1868,2784.3756
DRF15,18.35,151.934,306.268
NCX05,15.2,116.3492,2548.6824
FDM21,20.2,259.4646,2061.3168
NCG54,,172.3106,5475.5392
FDD26,8.71,185.6924,3331.6632
FDU23,12.15,163.1184,3467.4864
FDO37,8.06,232.0326,3003.4238
FDP19,11.5,130.6652,258.3304
FDT13,14.85,187.3214,4333.6922
FDY07,11.8,45.2402,1148.505
DRI47,14.7,143.5128,2444.8176
NCW42,,221.2456,663.1368
NCQ50,18.75,214.1218,4488.1578
FDQ09,7.235,115.1834,1382.2008
FDI20,,211.5586,4432.2306
NCP05,19.6,150.9024,3795.06
FDH02,7.27,92.2488,814.9392
FDH45,15.1,42.0796,454.0756
DRG49,7.81,243.5486,488.6972
FDA37,7.81,125.5046,3237.1196
FDS13,6.465,266.8884,1059.9536
NCW42,,220.8456,4199.8664
FDK15,10.8,100.5042,1884.8798
FDX51,9.5,196.8452,3523.4136
FDJ20,20.7,125.5388,2105.2596
DRK59,8.895,235.9616,1874.8928
FDL45,15.6,125.2704,2628.5784
FDH41,9,214.5534,3440.8544
FDD05,19.35,120.9098,1687.1372
FDZ39,19.7,102.599,2063.98
FDY35,,44.0402,91.8804
NCE06,5.825,160.7894,1617.894
FDE57,,140.6154,4538.0928
FDD33,12.85,233.8642,2323.642
FDQ10,12.85,172.4422,4483.4972
FDN15,17.5,139.918,419.454
FDS50,17,221.1114,4434.228
FDX21,7.05,111.1912,1965.4416
FDL58,5.78,264.0568,2109.2544
FDK09,15.2,229.0352,2290.352
